RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00001647	SAMD00022157	13541-145H4
RES00001647	SAMD00022158	13542-145H5
RES00001647	SAMD00022159	13543-145H6
RES00001648	SAMD00022160	13544-145H7
RES00001648	SAMD00022161	13545-145H8
RES00001648	SAMD00022162	13546-145H9
RES00001649	SAMD00022163	13547-145I1
RES00001649	SAMD00022164	13548-145I2
RES00001649	SAMD00022165	13549-145I3
RES00001650	SAMD00022166	13550-145I4
RES00001650	SAMD00022167	13551-145I5
RES00001650	SAMD00022168	13552-145I6
RES00001651	SAMD00022237	13625-146H7
RES00001651	SAMD00022238	13626-146H8
RES00001651	SAMD00022239	13627-146H9
RES00001652	SAMD00022240	13628-146I1
RES00001652	SAMD00022241	13629-146I2
RES00001652	SAMD00022242	13630-146I3
RES00001653	SAMD00022243	13631-146I4
RES00001653	SAMD00022244	13632-146I5
RES00001653	SAMD00022245	13633-146I6
RES00001654	SAMD00022246	13634-146I7
RES00001654	SAMD00022247	13635-146I8
RES00001654	SAMD00022248	13636-146I9
RES00001655	SAMD00022249	13637-147A1
RES00001655	SAMD00022250	13638-147A2
RES00001655	SAMD00022251	13639-147A3
RES00001656	SAMD00022252	13640-147A4
RES00001656	SAMD00022253	13641-147A5
RES00001656	SAMD00022254	13642-147A6
RES00001657	SAMD00022255	13643-147A7
RES00001657	SAMD00022256	13644-147A8
RES00001657	SAMD00022257	13645-147A9
RES00001658	SAMD00022258	13646-147B1
RES00001658	SAMD00022259	13647-147B2
RES00001658	SAMD00022260	13648-147B3
RES00001659	SAMD00022261	13649-147B4
RES00001659	SAMD00022262	13650-147B5
RES00001659	SAMD00022263	13651-147B6
RES00001660	SAMD00022264	13652-147B7
RES00001660	SAMD00022265	13653-147B8
RES00001660	SAMD00022266	13654-147B9
RES00001661	SAMD00022267	13655-147C1
RES00001661	SAMD00022268	13656-147C2
RES00001661	SAMD00022269	13657-147C3
RES00001662	SAMD00022270	13658-147C4
RES00001662	SAMD00022271	13659-147C5
RES00001662	SAMD00022272	13660-147C6
