FANTOM5_Sample_ID	Characteristics [description]	Sample types category	Experiments category	Chracteristics [Species]	Characteristics [Sex]	Characteristics [Age]	Unit[Age]	Characteristics [Developmental stage]	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
10000-101A1	Clontech Human Universal Reference Total RNA, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	NA	NA	NA	NA	NA	NA	NA	NA	NA
10002-101A5	SABiosciences XpressRef Human Universal Total RNA, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	NA	NA	NA	NA	NA	NA	NA	NA	NA
10007-101B4	Universal RNA - Human Normal Tissues Biochain, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	34-76	year	adult	NA	NA	NA	NA	NA	NA
10010-101C1	adipose tissue, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	65,65,76	year	adult	UBERON:0001013	adipose tissue	NA	NA	NA	NA
10011-101C2	bladder, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	55,58,79	year	adult	UBERON:0001255	urinary bladder	NA	NA	NA	NA
10012-101C3	brain, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	77,79,81	year	adult	UBERON:0000955	brain	NA	NA	NA	NA
10013-101C4	cervix, adult, pool1	tissues	snapshot	Human (Homo sapiens)	female	40,46,57,65	year	adult	UBERON:0000002	uterine cervix	NA	NA	NA	NA
10014-101C5	colon, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	62,83,84	year	adult	UBERON:0001155	colon	NA	NA	NA	NA
10015-101C6	esophagus, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	68,74,75	year	adult	UBERON:0001043	esophagus	NA	NA	NA	NA
10016-101C7	heart, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	70,73,74	year	adult	UBERON:0000948	heart	NA	NA	NA	NA
10017-101C8	kidney, adult, pool1	tissues	snapshot	Human (Homo sapiens)	female	60,62,63	year	adult	UBERON:0002113	kidney	NA	NA	NA	NA
10018-101C9	liver, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	64,69,70	year	adult	UBERON:0002107	liver	NA	NA	NA	NA
10019-101D1	lung, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	46,65,94	year	adult	UBERON:0002048	lung	NA	NA	NA	NA
10020-101D2	ovary, adult, pool1	tissues	snapshot	Human (Homo sapiens)	female	47,75,84	year	adult	UBERON:0000992	ovary	NA	NA	NA	NA
10021-101D3	placenta, adult, pool1	tissues	snapshot	Human (Homo sapiens)	female	NA	NA	adult	UBERON:0001987	placenta	NA	NA	NA	NA
10022-101D4	prostate, adult, pool1	tissues	snapshot	Human (Homo sapiens)	male	73,79,93	year	adult	UBERON:0002367	prostate gland	NA	NA	NA	NA
10023-101D5	skeletal muscle, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	55,79,79	year	adult	UBERON:0001134	skeletal muscle tissue	NA	NA	NA	NA
10024-101D6	small intestine, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	15,40,85	year	adult	UBERON:0002108	small intestine	NA	NA	NA	NA
10025-101D7	spleen, adult, pool1	tissues	snapshot	Human (Homo sapiens)	male	39,50,70	year	adult	UBERON:0002106	spleen	NA	NA	NA	NA
10026-101D8	testis, adult, pool1	tissues	snapshot	Human (Homo sapiens)	male	34,53,86	year	adult	UBERON:0000473	testis	NA	NA	NA	NA
10027-101D9	thymus, adult, pool1	tissues	snapshot	Human (Homo sapiens)	male	0.5,0.5,0.83	year	infant	UBERON:0002370	thymus	NA	NA	NA	NA
10028-101E1	thyroid, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	67,68,78	year	adult	UBERON:0002046	thyroid gland	NA	NA	NA	NA
10029-101E2	trachea, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	59,72,78	year	adult	UBERON:0003126	trachea	NA	NA	NA	NA
10030-101E3	retina, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	24-65	year	adult	UBERON:0000966	retina	NA	NA	NA	NA
10031-101E4	temporal lobe, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	32-61	year	adult	UBERON:0001871	temporal lobe	NA	NA	NA	NA
10032-101E5	postcentral gyrus, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	44-52	year	adult	UBERON:0002581	postcentral gyrus	NA	NA	NA	NA
10033-101E6	pons, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	18-54	year	adult	UBERON:0000988	pons	NA	NA	NA	NA
10034-101E7	parietal lobe, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	35-89	year	adult	UBERON:0001872	parietal lobe	NA	NA	NA	NA
10035-101E8	paracentral gyrus, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-69	year	adult	UBERON:0007190	paracentral gyrus	NA	NA	NA	NA
10036-101E9	occipital pole, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-68	year	adult	UBERON:0002902	occipital pole	NA	NA	NA	NA
10037-101F1	nucleus accumbens, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	23-56	year	adult	UBERON:0001882	nucleus accumbens	NA	NA	NA	NA
10038-101F2	medulla oblongata, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	18-64	year	adult	UBERON:0001896	medulla oblongata	NA	NA	NA	NA
10039-101F3	insula, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	20-68	year	adult	UBERON:0002022	insula	NA	NA	NA	NA
10040-101F4	frontal lobe, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	32-61	year	adult	UBERON:0016525	frontal lobe	NA	NA	NA	NA
10041-101F5	dura mater, adult, donor1	tissues	snapshot	Human (Homo sapiens)	female	59	year	adult	UBERON:0002363	dura mater	NA	NA	NA	NA
10042-101F6	corpus callosum, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	24-68	year	adult	UBERON:0002336	corpus callosum	NA	NA	NA	NA
10043-101F7	thymus, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-34	week	fetus	UBERON:0002370	thymus	NA	NA	NA	NA
10044-101F8	spleen, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	12-31	week	fetus	UBERON:0002106	spleen	NA	NA	NA	NA
10045-101F9	kidney, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	12-31	week	fetus	UBERON:0002113	kidney	NA	NA	NA	NA
10046-101G1	heart, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	12-31	week	fetus	UBERON:0000948	heart	NA	NA	NA	NA
10047-101G2	tonsil, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-61	year	adult	UBERON:0002372	tonsil	NA	NA	NA	NA
10048-101G3	smooth muscle, adult, pool1	tissues	snapshot	Human (Homo sapiens)	male	20-68	year	adult	UBERON:0001135	smooth muscle tissue	NA	NA	NA	NA
10049-101G4	pancreas, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	52	year	adult	UBERON:0001264	pancreas	NA	NA	NA	NA
10050-101G5	heart, adult, diseased post-infarction, donor1	tissues	snapshot	Human (Homo sapiens)	female	92	year	adult	UBERON:0000948	heart	NA	NA	NCIT:C27996	Myocardial Infarction
10051-101G6	heart, adult, diseased, donor1	tissues	snapshot	Human (Homo sapiens)	female	92	year	adult	UBERON:0000948	heart	NA	NA	NA	NA
10052-101G7	aorta, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	27-45	year	adult	UBERON:0000947	aorta	NA	NA	NA	NA
10053-101G8	blood, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	18-47	year	adult	UBERON:0000178	blood	NA	NA	NA	NA
10054-101G9	eye, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	36	week	fetus	UBERON:0000970	eye	NA	NA	NA	NA
10055-101H1	uterus, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	26	week	fetus	UBERON:0005795	embryonic uterus	NA	NA	NA	NA
10056-101H2	spinal cord, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	29	week	fetus	UBERON:0002240	spinal cord	NA	NA	NA	NA
10057-101H3	umbilical cord, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	31	week	fetus	UBERON:0002331	umbilical cord	NA	NA	NA	NA
10058-101H4	trachea, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	29	week	fetus	UBERON:0003126	trachea	NA	NA	NA	NA
