RefEx Sample ID	Description	Number of samples	Sample type category	Experiment category	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
RES00001647	293SLAM rinderpest infection, 00hr	3	cell lines	time courses	UBERON:0002113	kidney	NA	NA	NA	NA
RES00001648	293SLAM rinderpest infection, 06hr	3	cell lines	time courses	UBERON:0002113	kidney	NA	NA	NA	NA
RES00001649	293SLAM rinderpest infection, 12hr	3	cell lines	time courses	UBERON:0002113	kidney	NA	NA	NA	NA
RES00001650	293SLAM rinderpest infection, 24hr	3	cell lines	time courses	UBERON:0002113	kidney	NA	NA	NA	NA
RES00001651	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001652	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr15min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001653	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr30min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001654	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr45min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001655	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001656	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr20min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001657	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr40min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001658	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001659	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr30min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001660	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001661	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr30min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001662	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 04hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001663	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 05hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001664	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 06hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001665	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 07hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001666	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 08hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001667	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 12hr00min	2	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001668	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 16hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001669	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 24hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001670	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 42hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
