RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002524	SAMN02787940	GTEX-1117F-0226-SM-5GZZ7
RES00002525	SAMN02792094	GTEX-1117F-0426-SM-5EGHI
RES00002526	SAMN02790445	GTEX-1117F-0526-SM-5EGHJ
RES00002527	SAMN02788402	GTEX-1117F-0626-SM-5N9CS
RES00002528	SAMN02787835	GTEX-1117F-0726-SM-5GIEN
RES00002529	SAMN02791416	GTEX-1117F-1326-SM-5EGHH
RES00002531	SAMN02787908	GTEX-1117F-2426-SM-5EGGH
RES00002532	SAMN02792168	GTEX-1117F-2526-SM-5GZY6
RES00002533	SAMN02789362	GTEX-1117F-2826-SM-5GZXL
RES00002534	SAMN02790595	GTEX-1117F-2926-SM-5GZYI
RES00002535	SAMN02787296	GTEX-1117F-3026-SM-5GZYU
RES00002536	SAMN02792461	GTEX-1117F-3226-SM-5N9CT
RES00002538	SAMN02791696	GTEX-111CU-0126-SM-5GZWZ
RES00002539	SAMN02789685	GTEX-111CU-0226-SM-5GZXC
RES00002540	SAMN02791705	GTEX-111CU-0326-SM-5GZXO
RES00002541	SAMN02787263	GTEX-111CU-0426-SM-5GZY1
RES00002542	SAMN02789641	GTEX-111CU-0526-SM-5EGHK
RES00002543	SAMN02790451	GTEX-111CU-0626-SM-5EGHL
RES00002544	SAMN02787441	GTEX-111CU-0726-SM-5GZYD
RES00002545	SAMN02788693	GTEX-111CU-0826-SM-5EGIJ
RES00002546	SAMN02792580	GTEX-111CU-0926-SM-5EGIK
RES00002547	SAMN02793620	GTEX-111CU-1026-SM-5EGIL
RES00002548	SAMN02791849	GTEX-111CU-1126-SM-5EGIM
RES00002549	SAMN02791561	GTEX-111CU-1226-SM-5EGIN
RES00002550	SAMN02793408	GTEX-111CU-1326-SM-5NQ8L
RES00002551	SAMN02790157	GTEX-111CU-1426-SM-5GZYP
RES00002552	SAMN02793288	GTEX-111CU-1526-SM-5N9FS
RES00002553	SAMN02789548	GTEX-111CU-1726-SM-5EGHM
RES00002554	SAMN02789465	GTEX-111CU-1826-SM-5GZYN
RES00002556	SAMN02789892	GTEX-111CU-2026-SM-5GZZC
RES00002557	SAMN02792818	GTEX-111CU-2226-SM-5N9G5
RES00002560	SAMN02790272	GTEX-111FC-0126-SM-5N9DL
RES00002561	SAMN02788982	GTEX-111FC-0226-SM-5N9B8
RES00002562	SAMN02793062	GTEX-111FC-0326-SM-5GZZ1
RES00002563	SAMN02790965	GTEX-111FC-0426-SM-5N9CV
RES00002564	SAMN02793793	GTEX-111FC-0526-SM-5GZZ8
RES00002565	SAMN02789851	GTEX-111FC-0626-SM-5N9CU
RES00002566	SAMN02789654	GTEX-111FC-0826-SM-5GZWO
RES00002567	SAMN02789446	GTEX-111FC-1026-SM-5GZX1
RES00002568	SAMN02789502	GTEX-111FC-1126-SM-5GZWU
RES00002569	SAMN02787399	GTEX-111FC-1326-SM-5N9D9
RES00002570	SAMN02790734	GTEX-111FC-1926-SM-5GZYC
RES00002571	SAMN02791087	GTEX-111FC-2026-SM-5GZYO
RES00002572	SAMN02792418	GTEX-111FC-2526-SM-5GZXU
RES00002573	SAMN02790126	GTEX-111FC-2926-SM-5GZY7
RES00002575	SAMN02790901	GTEX-111FC-3126-SM-5GZZ2
RES00002576	SAMN02792648	GTEX-111FC-3326-SM-5GZYV
RES00002577	SAMN02788028	GTEX-111VG-0008-SM-5Q5BG
RES00002565	SAMN02787534	GTEX-111VG-0326-SM-5GZX7
RES00002567	SAMN02788457	GTEX-111VG-0526-SM-5N9BW
RES00002568	SAMN02788081	GTEX-111VG-0726-SM-5GIDC
RES00002572	SAMN02791650	GTEX-111VG-1626-SM-5EGIO
RES00002570	SAMN02791770	GTEX-111VG-1926-SM-5GIDO
RES00002578	SAMN02792456	GTEX-111VG-2226-SM-5N9DU
RES00002561	SAMN02792398	GTEX-111VG-2326-SM-5N9BK
RES00002560	SAMN02789124	GTEX-111VG-2426-SM-5GZXD
RES00002564	SAMN02787226	GTEX-111VG-2526-SM-5GZXP
RES00002562	SAMN02788932	GTEX-111VG-2626-SM-5GZY2
RES00002558	SAMN02792951	GTEX-111YS-0006-SM-5NQBE
RES00002577	SAMN02792630	GTEX-111YS-0008-SM-5Q5BH
RES00002579	SAMN02787983	GTEX-111YS-0126-SM-5987T
RES00002565	SAMN02790102	GTEX-111YS-0326-SM-5GZZ3
RES00002566	SAMN02789767	GTEX-111YS-0426-SM-5987O
RES00002580	SAMN02788099	GTEX-111YS-0526-SM-5GZXJ
RES00002568	SAMN02791387	GTEX-111YS-0626-SM-5GZXV
RES00002567	SAMN02793652	GTEX-111YS-0726-SM-5GZY8
RES00002581	SAMN02789526	GTEX-111YS-0826-SM-5GZYK
RES00002582	SAMN02789978	GTEX-111YS-0926-SM-5EGGI
RES00002583	SAMN02790937	GTEX-111YS-1026-SM-5GZYE
RES00002584	SAMN02792120	GTEX-111YS-1126-SM-5GZYQ
RES00002585	SAMN02788849	GTEX-111YS-1226-SM-5EGGJ
RES00002586	SAMN02793141	GTEX-111YS-1326-SM-5EGGK
RES00002587	SAMN02793769	GTEX-111YS-1426-SM-5GID8
RES00002572	SAMN02793230	GTEX-111YS-1526-SM-5GZYW
RES00002578	SAMN02788930	GTEX-111YS-1626-SM-5GZZ9
RES00002571	SAMN02792133	GTEX-111YS-1726-SM-5GIED
