RefEx Sample ID	Description	Number of samples	Sample type category	Tissue	Sub-region	Sex	Age	UBERON ID	UBERON label
RES00002522	Whole Blood, F, 60-69	347	tissues	Whole Blood		F	60-69	UBERON_0013756	venous blood
RES00002523	Brain - Frontal Cortex (BA9), F, 60-69	54	tissues	Brain	Frontal Cortex (BA9)	F	60-69	UBERON_0009834	dorsolateral prefrontal cortex
RES00002524	Adipose - Subcutaneous, F, 60-69	77	tissues	Adipose	Subcutaneous	F	60-69	UBERON_0002190	subcutaneous adipose tissue
RES00002525	Muscle - Skeletal, F, 60-69	107	tissues	Muscle	Skeletal	F	60-69	UBERON_0011907	gastrocnemius medialis
RES00002526	Artery - Tibial, F, 60-69	71	tissues	Artery	Tibial	F	60-69	UBERON_0007610	tibial artery
RES00002527	Artery - Coronary, F, 60-69	33	tissues	Artery	Coronary	F	60-69	UBERON_0001621	coronary artery
RES00002528	Heart - Atrial Appendage, F, 60-69	51	tissues	Heart	Atrial Appendage	F	60-69	UBERON_0006631	right atrium auricular region
RES00002529	Adipose - Visceral (Omentum), F, 60-69	53	tissues	Adipose	Visceral (Omentum)	F	60-69	UBERON_0010414	omental fat pad
RES00002530	Ovary, F, 60-69	48	tissues	Ovary		F	60-69	UBERON_0000992	ovary
RES00002531	Uterus, F, 60-69	37	tissues	Uterus		F	60-69	UBERON_0000995	uterus
RES00002532	Vagina, F, 60-69	42	tissues	Vagina		F	60-69	UBERON_0000996	vagina
RES00002533	Breast - Mammary Tissue, F, 60-69	46	tissues	Breast	Mammary Tissue	F	60-69	UBERON_0008367	breast epithelium
RES00002534	Skin - Not Sun Exposed (Suprapubic), F, 60-69	70	tissues	Skin	Not Sun Exposed (Suprapubic)	F	60-69	UBERON_0036149	suprapubic skin
RES00002535	Minor Salivary Gland, F, 60-69	23	tissues	Minor Salivary Gland		F	60-69	UBERON_0006330	anterior lingual gland
RES00002536	Brain - Cortex, F, 60-69	49	tissues	Brain	Cortex	F	60-69	UBERON_0001870	frontal cortex
RES00002537	Whole Blood, M, 50-59	759	tissues	Whole Blood		M	50-59	UBERON_0013756	venous blood
RES00002538	Adrenal Gland, M, 50-59	59	tissues	Adrenal Gland		M	50-59	UBERON_0002369	adrenal gland
RES00002539	Thyroid, M, 50-59	186	tissues	Thyroid		M	50-59	UBERON_0002046	thyroid gland
RES00002540	Lung, M, 50-59	218	tissues	Lung		M	50-59	UBERON_0008952	upper lobe of left lung
RES00002541	Spleen, M, 50-59	62	tissues	Spleen		M	50-59	UBERON_0002106	spleen
RES00002542	Pancreas, M, 50-59	81	tissues	Pancreas		M	50-59	UBERON_0001150	body of pancreas
RES00002543	Esophagus - Muscularis, M, 50-59	126	tissues	Esophagus	Muscularis	M	50-59	UBERON_0004648	esophagus muscularis mucosa
RES00002544	Esophagus - Mucosa, M, 50-59	137	tissues	Esophagus	Mucosa	M	50-59	UBERON_0006920	esophagus squamous epithelium
RES00002545	Esophagus - Gastroesophageal Junction, M, 50-59	106	tissues	Esophagus	Gastroesophageal Junction	M	50-59	UBERON_0004550	gastroesophageal sphincter
RES00002546	Stomach, M, 50-59	96	tissues	Stomach		M	50-59	UBERON_0000945	stomach
RES00002547	Adipose - Visceral (Omentum), M, 50-59	138	tissues	Adipose	Visceral (Omentum)	M	50-59	UBERON_0010414	omental fat pad
RES00002548	Skin - Not Sun Exposed (Suprapubic), M, 50-59	143	tissues	Skin	Not Sun Exposed (Suprapubic)	M	50-59	UBERON_0036149	suprapubic skin
RES00002549	Colon - Sigmoid, M, 50-59	78	tissues	Colon	Sigmoid	M	50-59	UBERON_0001159	sigmoid colon
RES00002550	Small Intestine - Terminal Ileum, M, 50-59	42	tissues	Small Intestine	Terminal Ileum	M	50-59	UBERON_0001211	Peyer's patch
RES00002551	Colon - Transverse, M, 50-59	99	tissues	Colon	Transverse	M	50-59	UBERON_0001157	transverse colon
RES00002552	Prostate, M, 50-59	76	tissues	Prostate		M	50-59	UBERON_0002367	prostate gland
RES00002553	Testis, M, 50-59	130	tissues	Testis		M	50-59	UBERON_0000473	testis
RES00002554	Adipose - Subcutaneous, M, 50-59	170	tissues	Adipose	Subcutaneous	M	50-59	UBERON_0002190	subcutaneous adipose tissue
RES00002555	Skin - Sun Exposed (Lower leg), M, 50-59	190	tissues	Skin	Sun Exposed (Lower leg)	M	50-59	UBERON_0004264	lower leg skin
RES00002556	Muscle - Skeletal, M, 50-59	250	tissues	Muscle	Skeletal	M	50-59	UBERON_0011907	gastrocnemius medialis
RES00002557	Nerve - Tibial, M, 50-59	155	tissues	Nerve	Tibial	M	50-59	UBERON_0001323	tibial nerve
RES00002558	Whole Blood, M, 60-69	671	tissues	Whole Blood		M	60-69	UBERON_0013756	venous blood
RES00002559	Brain - Frontal Cortex (BA9), M, 60-69	147	tissues	Brain	Frontal Cortex (BA9)	M	60-69	UBERON_0009834	dorsolateral prefrontal cortex
RES00002560	Skin - Sun Exposed (Lower leg), M, 60-69	174	tissues	Skin	Sun Exposed (Lower leg)	M	60-69	UBERON_0004264	lower leg skin
RES00002561	Adipose - Subcutaneous, M, 60-69	162	tissues	Adipose	Subcutaneous	M	60-69	UBERON_0002190	subcutaneous adipose tissue
RES00002562	Muscle - Skeletal, M, 60-69	253	tissues	Muscle	Skeletal	M	60-69	UBERON_0011907	gastrocnemius medialis
RES00002563	Artery - Tibial, M, 60-69	149	tissues	Artery	Tibial	M	60-69	UBERON_0007610	tibial artery
RES00002564	Nerve - Tibial, M, 60-69	155	tissues	Nerve	Tibial	M	60-69	UBERON_0001323	tibial nerve
RES00002565	Heart - Atrial Appendage, M, 60-69	119	tissues	Heart	Atrial Appendage	M	60-69	UBERON_0006631	right atrium auricular region
RES00002566	Heart - Left Ventricle, M, 60-69	155	tissues	Heart	Left Ventricle	M	60-69	UBERON_0006566	left ventricle myocardium
RES00002567	Thyroid, M, 60-69	177	tissues	Thyroid		M	60-69	UBERON_0002046	thyroid gland
RES00002568	Lung, M, 60-69	176	tissues	Lung		M	60-69	UBERON_0008952	upper lobe of left lung
RES00002569	Spleen, M, 60-69	33	tissues	Spleen		M	60-69	UBERON_0002106	spleen
RES00002570	Testis, M, 60-69	133	tissues	Testis		M	60-69	UBERON_0000473	testis
RES00002571	Prostate, M, 60-69	81	tissues	Prostate		M	60-69	UBERON_0002367	prostate gland
